feature,mean_importance
Q7,-0.3034098793198656
Q15,-0.1950247835230187
Q44,-0.19330081809817604
Q25,-0.1285874521022441
Q22,-0.11262333807148513
Q10_2,-0.10532661035499755
Q3,-0.040638078253429646
Q1.1,-0.031433951811933536
Q21,-0.016631025716001703
Q11,-0.01265537707735267
Q10_1,-0.011647024982555187
Q28,-0.010570490812867428
Q6,-0.010296915159212184
Q36,-0.009437847928540678
Q20,-0.005397292799739217
Q4,-0.002214521552529902
Q1,0.0
Q10_3,0.000556073772538923
Q34,0.0011403624679818592
Q40_2,0.0016017283857827636
Q_40_3,0.0021899442754886424
Q8,0.003936444444985953
Q35,0.007133151763936097
Q18,0.00819369559180565
Q19,0.009591527831180002
Q5,0.01578885933411609
Q24,0.017904484080869976
Q9,0.028709278178561615
Q32,0.03215254567783408
Q14,0.0329978722631302
Q27,0.036080732173145294
Q33,0.0462884152364933
Q16,0.046616960734874535
Q23,0.0656448010828917
Q29,0.07909181834511206
Q31,0.09463209725755428
Q30,0.11104540897948509
Q26,0.11441563088804858
Q40_1,0.213354295581335
