feature,mean_importance
Q15,-0.026002945271985923
Q7,-0.01972427304301947
Q36,-0.009549610210316584
Q40_2,-0.007910571247339293
Q_40_3,-0.005404766595789412
Q34,-0.0037469765437501356
Q3,-0.001420082950166357
Q10_1,-0.0010158753820828314
Q27,0.0
Q28,0.0
Q29,0.0
Q30,0.0
Q1,0.0
Q26,0.0
Q9,0.0
Q35,0.0
Q31,0.0
Q16,0.0
Q25,0.0
Q14,0.0
Q22,0.0
Q21,0.0
Q20,0.0
Q10_3,0.0
Q1.1,0.0
Q11,0.0
Q4,0.0
Q24,0.0
Q5,0.0003027511494499979
Q6,0.003178161489112008
Q10_2,0.005341020332915392
Q18,0.006808227886046625
Q8,0.00863273431147844
Q32,0.02993495171623568
Q19,0.036496519776327216
Q33,0.04668440142912522
Q23,0.056667614941086034
Q40_1,0.10679594406059807
Q44,0.11897524925214897
