feature,mean_importance
Q18,-0.09732290601111013
Q22,-0.092350411057523
Q15,-0.08869537689618925
Q28,-0.032741267194688374
Q36,-0.02669358775175401
Q7,-0.025532849900928058
Q20,-0.025015866193093483
Q3,-0.02472642335984434
Q8,-0.024642859819017416
Q1.1,-0.01544108428013633
Q10_2,-0.01055779155130605
Q40_2,-0.01020987772198192
Q35,-0.009833138978217092
Q14,-0.009111042047276396
Q44,-0.006043426476047831
Q6,-0.005237446767341858
Q4,-0.0019458761816304904
Q34,-0.0016461885672911293
Q1,0.0
Q29,0.002025200349904943
Q21,0.0033546041791494563
Q11,0.003964604763029067
Q24,0.005659687208582431
Q31,0.006262025948679972
Q9,0.006392286483048593
Q33,0.0068222350370289895
Q10_1,0.015124729878229192
Q16,0.019446372057003235
Q10_3,0.0222693697456825
Q32,0.02573574763174604
Q26,0.03185404545963433
Q5,0.032810576120336624
Q_40_3,0.033944234965201804
Q23,0.03471695849547789
Q25,0.035947080009728995
Q19,0.04031084080864291
Q27,0.04522802021798442
Q30,0.09893851317413253
Q40_1,0.12341494623671197
