feature,weight
intercept,2.6902082601856356e-18
Q1,-1.419219843160553e-16
Q1.1,-2.3592239273284576e-16
Q3,-2.5028458471559178e-17
Q4,4.0872018451367936e-16
Q10_1,-2.0700015152681512e-16
Q10_2,9.916484410299746e-17
Q10_3,-7.112390937439157e-17
Q40_1,0.7337631522868482
Q40_2,1.0131205748532173
Q43,4.877182165614736e-16
Q44,4.893204631112739e-16
Q11,1.6881894809820192e-16
Q18,-1.8196626849682695e-17
Q19,6.256141243038794e-16
Q20,2.1200752140805528e-16
Q21,-7.553021020106751e-16
Q22,3.012279317045463e-16
Q23,-3.846148909768526e-16
Q24,3.4846229795491516e-16
Q25,-8.903740748665883e-18
Q26,4.704146207893078e-16
Q27,-2.871453267516503e-16
Q28,-1.9656245727933146e-16
Q29,-3.6902166889697285e-16
Q30,-4.260104994349288e-17
Q31,2.6188375238016744e-16
Q5,2.3991744728840387e-16
Q6,3.5921780511252474e-16
Q7,-6.892319768241374e-17
Q8,1.7568780795149473e-16
Q9,-1.0970671888498387e-16
Q32,2.5284161066541948e-17
Q36,4.560329141680459e-16
Q35,-3.920475055707584e-16
Q34,-1.964574336543734e-16
Q33,0.0
Q15,4.0679265511656126e-16
Q16,-1.0148132334464322e-16
Q14,-1.5966330005372344e-16
