feature,mean_importance
Q21,-8.887849481356257e-31
Q15,-6.92124842814343e-31
Q27,-6.013342394359944e-31
Q34,-3.8811340239291617e-31
Q24,-3.5311812240343267e-31
Q10_1,-3.529209978091249e-31
Q31,-2.7308780291437202e-31
Q6,-2.1830076049639155e-31
Q30,-1.7814625405588514e-31
Q10_2,-1.5496258912533188e-31
Q20,-1.2135171289587284e-31
Q9,-8.65898102996504e-32
Q4,-5.436107203028082e-32
Q10_3,-3.1340544695016983e-32
Q32,-2.665713623025409e-32
Q11,-2.6505327634638e-32
Q3,-3.190246307879413e-33
Q33,0.0
Q36,1.0318452902046092e-32
Q18,2.1858171968827543e-32
Q7,3.232163606668661e-32
Q16,3.912583327020993e-32
Q25,4.5356783090286285e-32
Q22,7.243309230843635e-32
Q1.1,8.247511761846483e-32
Q8,1.0252291543956894e-31
Q1,1.3627427126497132e-31
Q23,1.5517330851924647e-31
Q26,1.8276848592241365e-31
Q35,1.9055830609747652e-31
Q5,3.416713011339681e-31
Q28,4.127222554823153e-31
Q43,4.928862571675154e-31
Q44,4.9731363023967174e-31
Q14,5.061434525847033e-31
Q29,5.521233306569979e-31
Q19,6.792868203850506e-31
Q40_2,0.8193830884839727
Q40_1,0.9376558341803
