feature,shap_importance
Q40_2,0.6987807624325325
Q40_1,0.5226680516149856
Q15,8.485368780881426e-16
Q19,6.011506177141309e-16
Q21,5.841762919204138e-16
Q44,4.638804192593977e-16
Q43,4.3335733771495956e-16
Q14,3.839724729802768e-16
Q29,3.7756989585010724e-16
Q24,3.7096140578867356e-16
Q6,3.6857112250695034e-16
Q4,3.5670470786200694e-16
Q26,3.534898139366768e-16
Q35,3.521830297465935e-16
Q23,3.394240538244157e-16
Q36,3.1952471516781527e-16
Q27,2.882341143631112e-16
Q31,2.694943859539441e-16
Q28,2.5883361248583516e-16
Q20,2.3041300790642847e-16
Q10_1,2.1580646359703745e-16
Q22,2.1132121445518717e-16
Q1.1,2.0490619222600865e-16
Q5,2.0014871581272162e-16
Q34,1.6834060777448263e-16
Q11,1.5700519598610378e-16
Q8,1.4324782929843558e-16
Q16,1.0922951484254916e-16
Q9,8.936721429497321e-17
Q10_2,8.905185910317727e-17
Q1,7.752041160120669e-17
Q7,6.356579719428385e-17
Q30,4.7613509376142377e-17
Q3,2.490999885779417e-17
Q10_3,2.2550972170266066e-17
Q32,2.2160908929989162e-17
Q18,1.951198765776193e-17
Q25,7.697849706023205e-18
Q33,0.0
