feature,mean_importance
Q15,-0.038924463680408486
Q3,-0.0062820097803256755
Q6,-0.003826510882555312
Q18,-0.003761495016022287
Q32,-0.0018627583333431785
Q10_2,-0.0017114709423600549
Q20,-0.0015190693783623753
Q34,-0.0006599044005022314
Q43,-0.000642984836562499
Q10_3,-0.0006356576093058897
Q5,-0.00038743474303730153
Q19,-0.0002320143595017088
Q1.1,-0.00016188835864685557
Q22,-0.00013013297387534095
Q21,-0.00012297350804301165
Q36,-3.3002125357045606e-05
Q30,0.0
Q1,0.0
Q29,0.0
Q33,0.0
Q7,0.0
Q28,0.0
Q25,0.0
Q26,0.0
Q14,0.0
Q8,3.125199906999776e-05
Q27,9.996729481322464e-05
Q11,0.0003095465179218548
Q9,0.0005132744001858147
Q31,0.0006635608159453798
Q16,0.0008326902577249051
Q23,0.0010324550755355434
Q35,0.0016960044935669162
Q10_1,0.002193817317002783
Q44,0.002268772614528769
Q4,0.002785797877221452
Q24,0.009843395301511598
Q40_2,0.46178528322112616
Q40_1,0.5729677604483567
