feature,shap_importance
Q40_2,0.5471629
Q40_1,0.29625672
Q16,0.16920435
Q15,0.054981366
Q3,0.01895672
Q10_3,0.01853527
Q19,0.018473612
Q6,0.018144453
Q18,0.013459213
Q24,0.012877621
Q11,0.011428358
Q20,0.008574193
Q5,0.0070164646
Q10_1,0.0061766976
Q4,0.0061733224
Q10_2,0.0052724085
Q44,0.00452517
Q36,0.0038867851
Q1.1,0.0037447263
Q32,0.0032540523
Q35,0.0030567436
Q31,0.0024740917
Q23,0.0022424078
Q22,0.0016448981
Q8,0.0016397507
Q27,0.0014261738
Q28,0.0009928631
Q34,0.00094420847
Q14,0.00090238405
Q9,0.00087796204
Q43,0.0006645755
Q25,0.00061964133
Q21,0.00039372855
Q7,0.0003819098
Q29,0.00023506429
Q30,0.0001790753
Q33,0.0
Q26,0.0
Q1,0.0
