feature,mean_importance
Q6,-0.2298749132188258
Q26,-0.11535342295135106
Q15,-0.10832210969736908
Q1,-0.10660373238450568
Q28,-0.07301474299620422
Q23,-0.06871055973396985
Q11,-0.061080310860182375
Q10_2,-0.05884134598914796
Q33,-0.05114182161615917
Q22,-0.050138020013884434
Q16,-0.04834958374963418
Q10_1,-0.04817697568108044
Q24,-0.041258966854985576
Q3,-0.03942871203853746
Q32,-0.032578506459840686
Q7,-0.03243805632240595
Q5,-0.03181808649526692
Q25,-0.030254070264134937
Q20,-0.026239068525602916
Q18,-0.02207801812112038
Q27,-0.019758733855720245
Q14,-0.018144370526046207
Q44,-0.016411158340027952
Q10_3,-0.014905241234901223
Q35,-0.009159123391132206
Q43,-0.008673658059786838
Q31,-0.007518588433695861
Q8,-0.006716721292125483
Q34,-0.0021685604183751205
Q9,0.0025153272563704253
Q1.1,0.012035478401991062
Q29,0.01977301158838394
Q30,0.0408873051050372
Q36,0.04542982913813613
Q21,0.060556408997273437
Q4,0.06411900981252201
Q19,0.06834124462241672
Q40_1,0.1878866635775099
Q40_2,0.18939334614725356
