feature,mean_importance
Q19,-0.0003047739793798354
Q7,-0.00021743150907381769
Q3,0.0
Q10_1,0.0
Q28,0.0
Q10_3,0.0
Q26,0.0
Q36,0.0
Q44,0.0
Q9,0.0
Q18,0.0
Q23,0.0
Q21,0.0
Q29,1.1102230246251566e-17
Q27,1.1102230246251566e-17
Q22,1.1102230246251566e-17
Q25,1.1102230246251566e-17
Q31,1.1102230246251566e-17
Q11,1.1102230246251566e-17
Q10_2,1.1102230246251566e-17
Q4,1.1102230246251566e-17
Q15,1.1102230246251566e-17
Q32,1.1102230246251566e-17
Q5,1.1102230246251566e-17
Q8,2.2204460492503132e-17
Q35,2.2204460492503132e-17
Q33,2.2204460492503132e-17
Q1,2.2204460492503132e-17
Q24,2.2204460492503132e-17
Q20,2.2204460492503132e-17
Q1.1,2.2204460492503132e-17
Q6,2.2204460492503132e-17
Q30,3.3306690738754695e-17
Q43,3.3306690738754695e-17
Q34,3.3306690738754695e-17
Q14,3.3306690738754695e-17
Q16,0.002893183528439991
Q40_1,0.02250204244446319
Q40_2,0.19707969451604693
